TEMPS (seconde);Vitesse axe X (pxs/s);Vitesse axe Y (pxs/s);Acceleration axe X (pxs/s);Acceleration axe Y (pxs/s)
0.75;-16.0;-28.0;-6.0;-22.0
1.0;-24.0;-68.0;-4.0;-20.0
1.25;-36.0;64.0;-6.0;66.0
1.5;0.0;0.0;18.0;-32.0
1.75;-236.0;-40.0;-118.0;-20.0
2.0;-56.0;80.0;90.0;60.0
2.25;44.0;-20.0;50.0;-50.0
2.5;32.0;108.0;-6.0;64.0
2.75;-24.0;12.0;-28.0;-48.0
3.0;28.0;-8.0;26.0;-10.0
3.25;280.0;-76.0;126.0;-34.0
3.5;-368.0;56.0;-324.0;66.0
3.75;-100.0;-48.0;134.0;-52.0
4.0;-4.0;-12.0;48.0;18.0
4.25;-16.0;0.0;-6.0;6.0
4.5;36.0;28.0;26.0;14.0
TEMPS (seconde);Vitesse axe X (pxs/s);Vitesse axe Y (pxs/s);Acceleration axe X (pxs/s);Acceleration axe Y (pxs/s)
0.75;0.0;0.0;194.0;162.0
1.0;0.0;0.0;0.0;0.0
1.25;596.0;232.0;298.0;116.0
1.5;4.0;0.0;-296.0;-116.0
1.75;0.0;0.0;-2.0;0.0
2.0;0.0;0.0;0.0;0.0
TEMPS (seconde);Vitesse axe X (pxs/s);Vitesse axe Y (pxs/s);Acceleration axe X (pxs/s);Acceleration axe Y (pxs/s)
0.75;0.0;0.0;0.0;0.0
1.0;836.0;-680.0;418.0;-340.0
1.25;-744.0;1252.0;-790.0;966.0
1.5;0.0;0.0;372.0;-626.0
1.75;-936.0;468.0;-468.0;234.0
2.0;212.0;144.0;574.0;-162.0
2.25;0.0;0.0;-106.0;-72.0
2.5;-792.0;668.0;-396.0;334.0
2.75;0.0;0.0;396.0;-334.0
3.0;0.0;0.0;0.0;0.0
